Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Total Income,61337.94,63120.37,318606.65,46259.9,57427.01,62913.58,105837.47,60157.06,86081.08,119160.43,86191.07,58993.18,1126085.74
    Income.Income.Sales Of Product Income.Chargebacks,-448.88,-82.98,-1429.5,-32.45,-116.45,-8.97,-15.92,-179.28,-170.96,-61.91,-87.5,-112.65,-2747.44
    Income.Income.Sales Of Product Income.Sales,61786.82,63203.35,320036.15,46292.34,57543.46,62922.55,105853.39,60336.34,86252.03,119222.34,86278.57,59105.83,1128833.18
        Income.Income.Discounts Refunds Given.Discounts and Refunds,-1065.59,-536.65,-1162.85,-520.54,-53.63,80.61,-554.59,-4980.25,-3198.47,-9330.78,-14320.28,-10095.07,-45738.09
        Income.Income.Sales Of Product Income.Sales of Product Income - Shopify,23904.26,25216.28,15122.97,20006.12,18836.5,20789.78,30878.96,22164.02,18610.91,38505.77,41309.66,31068.28,306413.52
        Income.Income.Sales Of Product Income.Sales of Product Income - Amazon Seller Central,17852.21,16180.17,16825.71,13941.43,8771.78,14597.86,22425.58,17012.2,15496.14,25067.37,14458.13,14328.68,196957.26
        Income.Income.Sales Of Product Income.Sales of Product Income - Invoices and cash,20086.63,20698.8,287646.74,11016.16,28652.15,26104.14,51622.87,24477.21,54308.28,63520.85,44122.5,22769.81,655026.13
        Income.Income.Sales Of Product Income.Sales of Product Income - Faire,1009.3,1644.76,1603.59,1849.17,1336.66,1350.17,1480.57,1663.17,1035.16,1459.13,708.56,1034.14,16174.37
Total Cost Of Goods Sold,-26417.71,-26904.19,-156766.96,-19334.15,-25506.25,-27176.15,-46829.4,-27988.4,-40633.62,-56650.11,-43608.85,-28961.83,-526777.61
    Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of Goods Sold,-26417.71,-26904.19,-156766.96,-19334.15,-25506.25,-27176.15,-46829.4,-27988.4,-40633.62,-56650.11,-43608.85,-28961.83,-526777.61
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Shopify,-9084.09,-9582.5,-5746.95,-7602.6,-7158.16,-7900.46,-11735.07,-8422.44,-7072.15,-14632.72,-15698.16,-11623.83,-116259.14
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Amazon Seller Central,-6785.62,-6149.86,-6394.79,-5298.82,-3353.61,-5548.47,-8542.51,-6495.69,-5889.64,-9527.35,-5495.12,-5436.0,-74917.49
