Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Total Income,109704.74,112892.66,569837.51,82737.21,102709.92,112522.82,189293.48,107592.71,153958.58,213121.99,154155.3,105511.07,2014037.98
    Income.Income.Sales Of Product Income.Chargebacks,-802.83,-148.42,-2556.71,-58.03,-208.28,-16.05,-28.47,-320.64,-305.76,-110.72,-156.49,-201.48,-4913.88
    Income.Income.Sales Of Product Income.Sales,110507.57,113041.08,572394.22,82795.24,102918.2,112538.86,189321.95,107913.35,154264.34,213232.72,154311.79,105712.55,2018951.86
        Income.Income.Discounts Refunds Given.Discounts and Refunds,-1905.83,-959.82,-2079.79,-931.0,-95.91,144.17,-991.91,-8907.32,-5720.55,-16688.38,-25612.25,-18055.34,-81803.94
        Income.Income.Sales Of Product Income.Sales of Product Income - Shopify,42753.48,45100.07,27047.88,35781.55,33689.64,37183.14,55227.94,39641.0,33286.17,68868.73,73883.56,55566.55,548029.72
        Income.Income.Sales Of Product Income.Sales of Product Income - Amazon Seller Central,31929.21,28938.71,30093.28,24934.67,15688.6,26108.71,40108.83,30426.82,27715.31,44833.74,25858.79,25627.27,352263.94
        Income.Income.Sales Of Product Income.Sales of Product Income - Invoices and cash,35925.54,37020.42,514464.78,19702.73,51245.22,46688.04,92329.04,43778.21,97131.98,113608.93,78914.41,40724.49,1171533.8
        Income.Income.Sales Of Product Income.Sales of Product Income - Faire,1805.17,2941.69,2868.07,3307.29,2390.65,2414.81,2648.05,2974.63,1851.42,2609.7,1267.28,1849.58,28928.34
Total Cost Of Goods Sold,-47248.87,-48118.95,-280382.38,-34579.71,-45618.69,-48605.36,-83755.77,-50058.09,-72674.44,-101320.4,-77995.73,-51799.1,-942157.49
    Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of Goods Sold,-47248.87,-48118.95,-280382.38,-34579.71,-45618.69,-48605.36,-83755.77,-50058.09,-72674.44,-101320.4,-77995.73,-51799.1,-942157.49
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Shopify,-16247.17,-17138.58,-10278.59,-13597.47,-12802.59,-14130.21,-20988.52,-15063.78,-12648.76,-26171.06,-28076.63,-20789.57,-207932.94
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Amazon Seller Central,-12136.28,-10999.2,-11437.27,-9477.1,-5998.04,-9923.61,-15278.54,-11617.73,-10533.8,-17039.95,-9828.18,-9722.45,-133992.16
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Invoices and cash,-17962.78,-18510.22,-257232.41,-9851.38,-25622.63,-23344.05,-46164.59,-21889.11,-48566.04,-56804.48,-39457.22,-20362.25,-585767.16
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Sales of Product Income - Faire,-902.64,-1470.95,-1434.11,-1653.76,-1195.42,-1207.49,-1324.13,-1487.46,-925.83,-1304.91,-633.7,-924.83,-14465.23
Gross Profit,62455.87,64773.71,289455.13,48157.5,57091.24,63917.46,105537.7,57534.62,81284.14,111801.59,76159.57,53711.97,1071880.49
Total Expenses,-115220.42,-94986.06,-79753.85,-72590.23,-90894.91,-85217.26,-104937.1,-143027.2,-116074.35,-121705.61,-115190.37,-113081.28,-1252678.64
