Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Total Income,57175.57,58837.04,296986.12,43120.72,53530.03,58644.29,98655.38,56074.83,80239.65,111074.25,80342.18,54989.93,1049669.97
    Income.Income.Sales Of Product Income.Chargebacks,-418.42,-77.35,-1332.5,-30.24,-108.55,-8.36,-14.84,-167.11,-159.36,-57.71,-81.56,-105.01,-2561.0
    Income.Income.Sales Of Product Income.Sales,57593.99,58914.39,298318.62,43150.96,53638.58,58652.65,98670.22,56241.94,80399.0,111131.95,80423.73,55094.93,1052230.97
        Income.Income.Discounts Refunds Given.Discounts and Refunds,-993.28,-500.24,-1083.94,-485.22,-49.99,75.14,-516.96,-4642.29,-2981.42,-8697.6,-13348.51,-9410.03,-42634.32
        Income.Income.Sales Of Product Income.Sales of Product Income - Shopify,22282.13,23505.11,14096.73,18648.51,17558.26,19378.99,28783.52,20659.97,17347.98,35892.79,38506.4,28960.0,285620.4
        Income.Income.Sales Of Product Income.Sales of Product Income - Amazon Seller Central,16640.77,15082.19,15683.92,12995.37,8176.53,13607.26,20903.79,15857.76,14444.58,23366.31,13477.0,13356.34,183591.81
        Income.Income.Sales Of Product Income.Sales of Product Income - Invoices and cash,18723.56,19294.19,268127.13,10268.61,26707.82,24332.72,48119.76,22816.19,50622.94,59210.34,41128.36,21224.66,610576.29
        Income.Income.Sales Of Product Income.Sales of Product Income - Faire,940.81,1533.14,1494.77,1723.68,1245.95,1258.54,1380.1,1550.31,964.92,1360.12,660.48,963.96,15076.78
Total Cost Of Goods Sold,-24625.02,-25078.48,-146128.81,-18022.14,-23775.4,-25331.99,-43651.57,-26089.12,-37876.24,-52805.85,-40649.57,-26996.49,-491030.67
    Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of Goods Sold,-24625.02,-25078.48,-146128.81,-18022.14,-23775.4,-25331.99,-43651.57,-26089.12,-37876.24,-52805.85,-40649.57,-26996.49,-491030.67
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Shopify,-8467.65,-8932.23,-5356.97,-7086.69,-6672.41,-7364.34,-10938.73,-7850.89,-6592.24,-13639.75,-14632.89,-10835.04,-108369.83
