Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Total Income,47943.11,49336.29,249030.1,36157.77,44886.24,49174.67,82724.94,47020.11,67282.9,93138.47,67368.87,46110.39,880173.85
    Income.Income.Sales Of Product Income.Chargebacks,-350.85,-64.86,-1117.33,-25.36,-91.02,-7.01,-12.44,-140.13,-133.62,-48.39,-68.39,-88.05,-2147.46
    Income.Income.Sales Of Product Income.Sales,48293.96,49401.15,250147.43,36183.13,44977.26,49181.68,82737.38,47160.24,67416.52,93186.85,67437.26,46198.44,882321.32
        Income.Income.Discounts Refunds Given.Discounts and Refunds,-832.89,-419.46,-908.91,-406.86,-41.92,63.0,-433.48,-3892.67,-2499.99,-7293.15,-11193.05,-7890.54,-35749.92
        Income.Income.Sales Of Product Income.Sales of Product Income - Shopify,18684.11,19709.61,11820.45,15637.23,14723.03,16249.76,24135.69,17323.89,14546.71,30096.98,32288.56,24283.66,239499.67
        Income.Income.Sales Of Product Income.Sales of Product Income - Amazon Seller Central,13953.69,12646.78,13151.35,10896.94,6856.22,11410.02,17528.34,13297.11,12112.13,19593.22,11300.8,11199.62,153946.21
        Income.Income.Sales Of Product Income.Sales of Product Income - Invoices and cash,15700.16,16178.65,224831.14,8610.48,22395.16,20403.58,40349.59,19131.93,42448.57,49649.32,34487.13,17797.4,511983.1
        Income.Income.Sales Of Product Income.Sales of Product Income - Faire,788.89,1285.58,1253.4,1445.35,1044.76,1055.32,1157.25,1299.97,809.11,1140.49,553.83,808.3,12642.25
Total Cost Of Goods Sold,-20648.68,-21028.92,-122532.57,-15112.01,-19936.25,-21241.49,-36602.91,-21876.36,-31760.15,-44278.99,-34085.66,-22637.22,-411741.19
    Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of Goods Sold,-20648.68,-21028.92,-122532.57,-15112.01,-19936.25,-21241.49,-36602.91,-21876.36,-31760.15,-44278.99,-34085.66,-22637.22,-411741.19
