Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Total Income,57971.4,59656.0,301119.89,43720.92,54275.12,59460.56,100028.57,56855.34,81356.51,112620.3,81460.46,55755.33,1064280.39
    Income.Income.Sales Of Product Income.Chargebacks,-424.24,-78.43,-1351.05,-30.67,-110.06,-8.48,-15.05,-169.44,-161.57,-58.51,-82.69,-106.47,-2596.65
    Income.Income.Sales Of Product Income.Sales,58395.64,59734.43,302470.93,43751.58,54385.18,59469.04,100043.61,57024.77,81518.08,112678.81,81543.16,55861.8,1066877.04
        Income.Income.Discounts Refunds Given.Discounts and Refunds,-1007.1,-507.2,-1099.03,-491.97,-50.68,76.18,-524.16,-4706.91,-3022.92,-8818.66,-13534.31,-9541.0,-43227.75
        Income.Income.Sales Of Product Income.Sales of Product Income - Shopify,22592.27,23832.28,14292.94,18908.08,17802.66,19648.73,29184.16,20947.54,17589.45,36392.38,39042.38,29363.09,289595.97
        Income.Income.Sales Of Product Income.Sales of Product Income - Amazon Seller Central,16872.39,15292.12,15902.23,13176.26,8290.34,13796.66,21194.75,16078.48,14645.63,23691.54,13664.59,13542.25,186147.24
        Income.Income.Sales Of Product Income.Sales of Product Income - Invoices and cash,18984.17,19562.75,271859.21,10411.54,27079.57,24671.41,48789.54,23133.77,51327.57,60034.5,41700.83,21520.09,619074.94
        Income.Income.Sales Of Product Income.Sales of Product Income - Faire,953.91,1554.48,1515.58,1747.68,1263.29,1276.06,1399.31,1571.89,978.35,1379.05,669.67,977.38,15286.64
Total Cost Of Goods Sold,-24967.77,-25427.55,-148162.78,-18272.99,-24106.33,-25684.59,-44259.16,-26452.25,-38403.44,-53540.86,-41215.37,-27372.26,-497865.36
    Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of Goods Sold,-24967.77,-25427.55,-148162.78,-18272.99,-24106.33,-25684.59,-44259.16,-26452.25,-38403.44,-53540.86,-41215.37,-27372.26,-497865.36
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Shopify,-8585.51,-9056.56,-5431.53,-7185.33,-6765.29,-7466.84,-11090.99,-7960.17,-6684.0,-13829.61,-14836.57,-10985.86,-109878.24
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Amazon Seller Central,-6413.19,-5812.32,-6043.81,-5008.0,-3169.55,-5243.94,-8073.66,-6139.17,-5566.39,-9004.44,-5193.52,-5137.65,-70805.63
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Invoices and cash,-9492.09,-9781.38,-135929.61,-5205.78,-13539.8,-12335.72,-24394.8,-11566.89,-25663.81,-30017.25,-20850.42,-10760.05,-309537.61
        Expense.Cost of Goods Sold.Supplies Materials COGS.Cost of goods sold - Sales of Product Income - Faire,-476.98,-777.29,-757.83,-873.9,-631.7,-638.08,-699.71,-786.02,-489.24,-689.55,-334.87,-488.71,-7643.88
Gross Profit,33003.62,34228.45,152957.1,25447.92,30168.79,33775.98,55769.41,30403.09,42953.07,59079.44,40245.09,28383.08,566415.03
Total Expenses,-60886.06,-50193.59,-42144.42,-38358.94,-48031.7,-45031.46,-55452.03,-75580.03,-61337.3,-64313.04,-60870.18,-59755.67,-661954.41
